_date,total_clones,unique_clones
2024-06-14,9,2
2024-06-15,8,1
2024-06-16,8,1
2024-06-17,8,1
2024-06-18,8,1
2024-06-19,8,1
2024-06-20,8,1
2024-06-21,8,1
2024-06-22,8,1
2024-06-23,8,1
2024-06-24,8,1
2024-06-25,8,1
2024-06-27,6,3
2024-06-30,2,1
2024-07-01,2,1
2024-07-07,2,1
2024-07-12,1,1
2024-07-14,2,1
2024-07-15,3,2
2024-07-16,1,1
2024-07-21,2,1
2024-07-28,2,1
2024-08-04,2,1
2024-08-05,2,2
2024-08-11,2,1
2024-08-12,2,2
2024-08-14,1,1
2024-08-16,1,1
2024-08-17,2,2
2024-08-18,2,1
2024-08-19,3,3
2024-08-22,1,1
2024-08-23,2,2
2024-08-25,2,1
2024-08-26,3,3
2024-08-31,2,2
2024-09-01,2,1
2024-09-02,1,1
2024-09-03,1,1
2024-09-06,2,2
2024-09-08,2,1
2024-09-09,5,5
2024-09-14,3,3
2024-09-15,5,4
2024-09-16,5,5
2024-09-19,4,4
2024-09-20,2,2
2024-09-22,2,2
