_date,total_views,unique_views
2024-06-14,1,1
2024-06-16,1,1
2024-06-22,1,1
2024-06-24,13,4
2024-06-27,4,1
2024-06-28,1,1
2024-07-03,39,1
2024-07-05,1,1
2024-07-08,2,1
2024-07-09,1,1
2024-07-10,3,1
2024-07-11,8,1
2024-07-13,2,1
2024-07-15,1,1
2024-07-16,11,1
2024-07-17,33,2
2024-07-18,1,1
2024-07-19,56,1
2024-07-26,1,1
2024-07-29,7,2
2024-07-30,19,2
2024-07-31,5,1
2024-08-02,1,1
2024-08-05,1,1
2024-08-07,1,1
2024-08-08,3,1
2024-08-12,25,2
2024-08-14,1,1
2024-08-15,5,1
2024-08-20,2,2
2024-08-21,11,4
2024-08-24,1,1
2024-08-26,25,2
2024-08-27,8,2
2024-08-29,1,1
2024-08-30,12,1
2024-09-02,4,1
2024-09-03,6,2
2024-09-06,12,2
2024-09-09,24,2
2024-09-10,15,2
2024-09-11,1,1
2024-09-12,3,2
2024-09-17,62,2
2024-09-18,5,3
2024-09-19,152,2
2024-09-23,109,3
2024-09-24,61,1
2024-09-26,1,1
2024-09-27,2,2
2024-09-30,1,1
2024-10-01,2,2
2024-10-02,43,4
2024-10-03,1,1
2024-10-05,4,1
2024-10-07,15,2
2024-10-08,19,2
2024-10-09,5,3
2024-10-10,1,1
2024-10-11,1,1
2024-10-14,1,1
2024-10-17,2,2
2024-10-18,3,2
2024-10-21,2,2
2024-10-27,16,1
2024-10-28,1,1
2024-10-29,22,1
2024-11-04,13,1
2024-11-05,1,1
2024-11-07,22,3
2024-11-08,1,1
2024-11-11,40,2
2024-11-12,2,1
2024-11-13,2,1
2024-11-14,2,1
2024-11-19,1,1
2024-11-21,34,1
2024-11-22,28,3
2024-11-25,6,2
2024-11-26,2,1
2024-11-27,169,3
2024-12-03,4,3
2024-12-04,445,3
2024-12-05,8,1
2024-12-10,1,1
2024-12-16,13,1
2024-12-17,1,1
2024-12-23,3,1
2024-12-28,5,1
2025-01-02,101,1
2025-01-15,1,1
2025-01-24,16,1
2025-01-30,1,1
2025-02-04,7,1
2025-02-07,42,2
2025-02-10,3,2
2025-02-13,1,1
2025-02-14,5,1
2025-03-18,1,1
2025-03-19,57,2
2025-03-20,18,2
2025-03-21,1,1
2025-03-24,1,1
2025-03-26,9,1
2025-03-27,25,3
2025-04-01,7,3
2025-04-02,12,1
2025-04-03,3,2
2025-04-05,1,1
2025-04-07,107,1
2025-04-08,4,1
2025-04-12,2,1
